지번주소,좌표정보,좌표정보,콘텐츠 명
서울특별시 은평구 응암동 232-3번지 은평병원,126.9232505,37.59390971,서울특별시은평병원 주차장
서울특별시 광진구 자양동 777번지,127.083109,37.5383135,광진구청 주차장
서울특별시 광진구 구의동 546-4번지 테크노마트,127.0952935,37.53614095,강변테크노마트 주차장
서울특별시 서대문구 홍은동 11-23번지 홍은1동제4공영주차장,126.9492211,37.60151633,홍은 1동 제4공영주차장
서울특별시 강남구 도곡동 146-92번지 강남세브란스병원,127.0467952,37.49268736,강남세브란스 병원
서울특별시 강남구 도곡동 146-92번지 강남세브란스병원,127.0467952,37.49268736,강남세브란스 병원
서울특별시 강남구 논현동 254번지 LH서울지역본부,127.0412679,37.51397761,LH서울지사
서울특별시 강서구 방화동 886번지 김포공항롯데몰스카이시티,126.8026795,37.56335246,한국공항공사 서울
서울특별시 강서구 방화동 886번지 김포공항롯데몰스카이시티,126.8026795,37.56335246,한국공항공사 서울
서울특별시 강서구 방화동 886번지 김포공항롯데몰스카이시티,126.8026795,37.56335246,한국공항공사 서울
서울특별시 강서구 방화동 886번지 김포공항롯데몰스카이시티,126.8026795,37.56335246,한국공항공사 서울
서울특별시 강동구 성내동 192-3번지,127.1331972,37.53533926,현대자동차 성내 사옥
서울특별시 도봉구 방학동 708-2번지,127.0438421,37.66302,현대자동차 북부 서비스센터 
서울특별시 종로구 중학동 111-1번지,126.978818,37.57529804,광화문 열린마당 공영주차장
서울특별시 강남구 대치동 509번지 하이마트사옥,127.0636726,37.49419105,롯데하이마트 대치점
서울특별시 중랑구 망우동 489-26번지 하이마트,127.0965392,37.59921008,롯데하이마트 상봉점
서울특별시 도봉구 창동 16-3번지 하이마트종합전자백화점,127.0521149,37.65286635,롯데하이마트 창동점
서울특별시 강서구 등촌동 629-8번지 기아자동차강서서비스센터가양지점,126.8592954,37.55861895,기아 강서 서비스센터
서울특별시 금천구 시흥동 992-28번지 기아자동차서비스(주)시흥공장,126.9004542,37.45115932,기아 시흥 서비스센터
서울특별시 도봉구 도봉동 78-12번지 기아자동차서비스도봉사업소,127.0502259,37.6838238,기아 도봉 서비스센터
서울특별시 서초구 양재동 261-4번지 현대기아자동차서비스,127.0411546,37.47487312,현대강남자동차서비스
